side,faction,budget,key,metal,tower_metal,force
barb,Armada,6000,base6-hold,7698,1770,"armflea:2,armflash:2,armpw:15,corak:2,armwar:2,armstump:1,armham:10,corthud:3,armllt:6,armrock:11,corstorm:1,armbeamer:2,armhlt:2,armfido:3"
barb,Armada,6000,base6-out,7698,1770,"armflea:2,armflash:2,armpw:15,corak:2,armwar:2,armstump:1,armham:10,corthud:3,armllt:6,armrock:11,corstorm:1,armbeamer:2,armhlt:2,armfido:3"
barb,Armada,6000,base12-hold,8208,2280,"armflea:2,armflash:2,armpw:15,corak:2,armwar:2,armstump:1,armham:10,corthud:3,armllt:12,armrock:11,corstorm:1,armbeamer:2,armhlt:2,armfido:3"
barb,Armada,6000,base12-out,8208,2280,"armflea:2,armflash:2,armpw:15,corak:2,armwar:2,armstump:1,armham:10,corthud:3,armllt:12,armrock:11,corstorm:1,armbeamer:2,armhlt:2,armfido:3"
ours,Armada,10000,t1-line,9850,0,"armwar:9,armham:34,armrock:25"
barb,Armada,10000,field20,9825,0,"armflea:3,armflash:1,armpw:19,corak:2,armwar:10,armstump:3,armham:16,armjanus:2,corthud:2,armrock:17,armfido:1"
ours,Armada,10000,t1-mace,9880,0,armham:76
ours,Armada,10000,zeus,9800,0,armzeus:28
ours,Armada,10000,mav,9750,0,armmav:15
ours,Armada,10000,fido,9975,0,armfido:35
ours,Armada,10000,sptk,10000,0,armsptk:25
ours,Armada,10000,snipe,10200,0,armsnipe:15
ours,Armada,10000,fboy,9800,0,armfboy:7
ours,Armada,10000,fast,9920,0,armfast:62
ours,Armada,10000,amph,9880,0,armamph:38
ours,Armada,10000,t1+zeus,9880,0,"armzeus:14,armwar:4,armham:18,armrock:13"
ours,Armada,10000,t1+mav,10180,0,"armwar:4,armmav:8,armham:18,armrock:13"
ours,Armada,10000,t1+fido,9860,0,"armwar:4,armham:17,armrock:12,armfido:18"
ours,Armada,10000,t1+sptk,10180,0,"armwar:4,armham:18,armrock:13,armsptk:13"
ours,Armada,10000,t1+snipe,10010,0,"armwar:5,armham:18,armrock:13,armsnipe:7"
ours,Armada,10000,t1+fboy,9830,0,"armwar:5,armham:20,armrock:14,armfboy:3"
ours,Armada,10000,zeus+fido,10030,0,"armzeus:14,armfido:18"
ours,Armada,10000,zeus+sptk,10100,0,"armzeus:14,armsptk:13"
ours,Armada,10000,zeus+snipe,10030,0,"armzeus:17,armsnipe:6"
ours,Armada,10000,mace+zeus,9840,0,"armzeus:14,armham:38"
ours,Armada,10000,t1+zeus+fido,9900,0,"armzeus:9,armwar:3,armham:12,armrock:8,armfido:12"
ours,Armada,10000,t1+zeus(25),9880,0,"armzeus:7,armwar:7,armham:26,armrock:18"
ours,Armada,10000,t1+zeus(75),10000,0,"armzeus:22,armwar:2,armham:8,armrock:6"
barb,Armada,10000,field25,9856,0,"armflea:4,armflash:4,armpw:25,corak:4,armwar:3,armstump:2,armham:16,armjanus:1,corthud:5,armrock:19,corstorm:1,armfido:4"
barb,Armada,10000,t1only,9997,0,"armflea:3,armflash:1,armpw:20,corak:3,armwar:10,armstump:3,armham:16,armjanus:3,corthud:2,armrock:18"
barb,Armada,10000,base6-hold,11626,1770,"armflea:4,armflash:4,armpw:25,corak:4,armwar:3,armstump:2,armham:16,armjanus:1,corthud:5,armllt:6,armrock:19,corstorm:1,armbeamer:2,armhlt:2,armfido:4"
barb,Armada,10000,base6-out,11626,1770,"armflea:4,armflash:4,armpw:25,corak:4,armwar:3,armstump:2,armham:16,armjanus:1,corthud:5,armllt:6,armrock:19,corstorm:1,armbeamer:2,armhlt:2,armfido:4"
barb,Armada,10000,base12-hold,12136,2280,"armflea:4,armflash:4,armpw:25,corak:4,armwar:3,armstump:2,armham:16,armjanus:1,corthud:5,armllt:12,armrock:19,corstorm:1,armbeamer:2,armhlt:2,armfido:4"
barb,Armada,10000,base12-out,12136,2280,"armflea:4,armflash:4,armpw:25,corak:4,armwar:3,armstump:2,armham:16,armjanus:1,corthud:5,armllt:12,armrock:19,corstorm:1,armbeamer:2,armhlt:2,armfido:4"
barb,Cortex,3000,field20,3000,0,"corak:5,corraid:1,corthud:8,corstorm:13"
barb,Cortex,3000,field25,3046,0,"armpw:1,corak:4,armham:1,corthud:9,corstorm:13"
barb,Cortex,3000,t1only,3000,0,"corak:5,corraid:1,corthud:8,corstorm:13"
barb,Cortex,3000,base6-hold,4936,1890,"armpw:1,corak:4,armham:1,corthud:9,corllt:6,corstorm:13,corhllt:2,corhlt:2"
barb,Cortex,3000,base6-out,4936,1890,"armpw:1,corak:4,armham:1,corthud:9,corllt:6,corstorm:13,corhllt:2,corhlt:2"
barb,Cortex,3000,base12-hold,5476,2430,"armpw:1,corak:4,armham:1,corthud:9,corllt:12,corstorm:13,corhllt:2,corhlt:2"
barb,Cortex,3000,base12-out,5476,2430,"armpw:1,corak:4,armham:1,corthud:9,corllt:12,corstorm:13,corhllt:2,corhlt:2"
barb,Cortex,6000,field20,5936,0,"armpw:1,corak:9,corraid:3,armham:1,corthud:14,corstorm:23,corwolv:1"
barb,Cortex,6000,field25,5961,0,"armpw:3,corak:8,coramph:1,corraid:1,armham:2,corthud:15,corstorm:23"
barb,Cortex,6000,t1only,5936,0,"armpw:1,corak:9,corraid:3,armham:1,corthud:14,corstorm:23,corwolv:1"
barb,Cortex,6000,base6-hold,7851,1890,"armpw:3,corak:8,coramph:1,corraid:1,armham:2,corthud:15,corllt:6,corstorm:23,corhllt:2,corhlt:2"
barb,Cortex,6000,base6-out,7851,1890,"armpw:3,corak:8,coramph:1,corraid:1,armham:2,corthud:15,corllt:6,corstorm:23,corhllt:2,corhlt:2"
barb,Cortex,6000,base12-hold,8391,2430,"armpw:3,corak:8,coramph:1,corraid:1,armham:2,corthud:15,corllt:12,corstorm:23,corhllt:2,corhlt:2"
barb,Cortex,6000,base12-out,8391,2430,"armpw:3,corak:8,coramph:1,corraid:1,armham:2,corthud:15,corllt:12,corstorm:23,corhllt:2,corhlt:2"
barb,Cortex,10000,field20,9854,0,"armpw:1,corak:15,corgator:1,corraid:5,armham:2,corthud:24,corstorm:37,corwolv:1"
barb,Cortex,10000,field25,9819,0,"armpw:4,corak:11,corgator:1,corpyro:1,coramph:2,cortermite:1,corraid:2,armham:3,corthud:21,corstorm:31,cormort:1"
barb,Cortex,10000,t1only,9854,0,"armpw:1,corak:15,corgator:1,corraid:5,armham:2,corthud:24,corstorm:37,corwolv:1"
barb,Cortex,10000,base6-hold,11709,1890,"armpw:4,corak:11,corgator:1,corpyro:1,coramph:2,cortermite:1,corraid:2,armham:3,corthud:21,corllt:6,corstorm:31,corhllt:2,corhlt:2,cormort:1"
barb,Cortex,10000,base6-out,11709,1890,"armpw:4,corak:11,corgator:1,corpyro:1,coramph:2,cortermite:1,corraid:2,armham:3,corthud:21,corllt:6,corstorm:31,corhllt:2,corhlt:2,cormort:1"
barb,Cortex,10000,base12-hold,12249,2430,"armpw:4,corak:11,corgator:1,corpyro:1,coramph:2,cortermite:1,corraid:2,armham:3,corthud:21,corllt:12,corstorm:31,corhllt:2,corhlt:2,cormort:1"
barb,Cortex,10000,base12-out,12249,2430,"armpw:4,corak:11,corgator:1,corpyro:1,coramph:2,cortermite:1,corraid:2,armham:3,corthud:21,corllt:12,corstorm:31,corhllt:2,corhlt:2,cormort:1"
ours,Cortex,3000,t1-line,3000,0,"corthud:12,corstorm:12"
ours,Cortex,3000,t1-thud,2940,0,corthud:21
ours,Cortex,3000,can,2800,0,corcan:5
ours,Cortex,3000,sumo,2200,0,corsumo:1
ours,Cortex,3000,pyro,3000,0,corpyro:15
ours,Cortex,3000,hrk,3000,0,corhrk:5
ours,Cortex,3000,mort,2800,0,cormort:7
ours,Cortex,3000,termite,2700,0,cortermite:5
ours,Cortex,3000,amph,2970,0,coramph:9
ours,Cortex,3000,t1+can,2980,0,"corcan:2,corthud:7,corstorm:8"
ours,Cortex,3000,t1+sumo,3060,0,"corthud:3,corstorm:4,corsumo:1"
ours,Cortex,3000,t1+pyro,3010,0,"corpyro:7,corthud:6,corstorm:7"
ours,Cortex,3000,t1+hrk,2950,0,"corthud:7,corstorm:7,corhrk:2"
ours,Cortex,3000,t1+mort,2950,0,"corthud:7,corstorm:7,cormort:3"
ours,Cortex,3000,t1+termite,2940,0,"cortermite:2,corthud:7,corstorm:8"
ours,Cortex,3000,can+mort,2720,0,"corcan:2,cormort:4"
ours,Cortex,3000,can+hrk,2880,0,"corcan:3,corhrk:2"
ours,Cortex,3000,termite+mort,2680,0,"cortermite:2,cormort:4"
ours,Cortex,3000,thud+can,2940,0,"corcan:2,corthud:13"
ours,Cortex,3000,t1+can+mort,3030,0,"corcan:2,corthud:4,corstorm:5,cormort:2"
ours,Cortex,3000,t1+can(25),3060,0,"corcan:1,corthud:10,corstorm:10"
ours,Cortex,3000,t1+can(75),2990,0,"corcan:4,corthud:3,corstorm:3"
ours,Cortex,6000,t1-line,6000,0,"corthud:24,corstorm:24"
ours,Cortex,6000,t1-thud,5880,0,corthud:42
ours,Cortex,6000,can,5600,0,corcan:10
ours,Cortex,6000,sumo,4400,0,corsumo:2
ours,Cortex,6000,pyro,6000,0,corpyro:30
ours,Cortex,6000,hrk,6000,0,corhrk:10
ours,Cortex,6000,mort,6000,0,cormort:15
ours,Cortex,6000,termite,5940,0,cortermite:11
ours,Cortex,6000,amph,5940,0,coramph:18
ours,Cortex,6000,t1+can,5910,0,"corcan:5,corthud:12,corstorm:13"
ours,Cortex,6000,t1+sumo,5950,0,"corthud:15,corstorm:15,corsumo:1"
ours,Cortex,6000,t1+pyro,6000,0,"corpyro:15,corthud:12,corstorm:12"
ours,Cortex,6000,t1+hrk,6000,0,"corthud:12,corstorm:12,corhrk:5"
ours,Cortex,6000,t1+mort,5910,0,"corthud:12,corstorm:13,cormort:7"
ours,Cortex,6000,t1+termite,5950,0,"cortermite:5,corthud:13,corstorm:13"
ours,Cortex,6000,can+mort,6000,0,"corcan:5,cormort:8"
ours,Cortex,6000,can+hrk,5760,0,"corcan:6,corhrk:4"
ours,Cortex,6000,termite+mort,5900,0,"cortermite:5,cormort:8"
ours,Cortex,6000,thud+can,5880,0,"corcan:5,corthud:22"
ours,Cortex,6000,t1+can+mort,5930,0,"corcan:3,corthud:9,corstorm:9,cormort:5"
ours,Cortex,6000,t1+can(25),5980,0,"corcan:2,corthud:19,corstorm:20"
ours,Cortex,6000,t1+can(75),5980,0,"corcan:8,corthud:6,corstorm:6"
ours,Cortex,10000,t1-line,9860,0,"corthud:39,corstorm:40"
ours,Cortex,10000,t1-thud,9940,0,corthud:71
ours,Cortex,10000,can,10080,0,corcan:18
ours,Cortex,10000,sumo,8800,0,corsumo:4
ours,Cortex,10000,pyro,10000,0,corpyro:50
ours,Cortex,10000,hrk,10200,0,corhrk:17
ours,Cortex,10000,mort,10000,0,cormort:25
ours,Cortex,10000,termite,9720,0,cortermite:18
ours,Cortex,10000,amph,9900,0,coramph:30
ours,Cortex,10000,t1+can,9900,0,"corcan:9,corthud:19,corstorm:20"
ours,Cortex,10000,t1+sumo,9900,0,"corthud:22,corstorm:22,corsumo:2"
ours,Cortex,10000,t1+pyro,9860,0,"corpyro:25,corthud:19,corstorm:20"
ours,Cortex,10000,t1+hrk,9800,0,"corthud:20,corstorm:20,corhrk:8"
ours,Cortex,10000,t1+mort,9800,0,"corthud:20,corstorm:20,cormort:12"
ours,Cortex,10000,t1+termite,9860,0,"cortermite:9,corthud:20,corstorm:20"
ours,Cortex,10000,can+mort,9840,0,"corcan:9,cormort:12"
ours,Cortex,10000,can+hrk,9760,0,"corcan:11,corhrk:6"
ours,Cortex,10000,termite+mort,10060,0,"cortermite:9,cormort:13"
ours,Cortex,10000,thud+can,10080,0,"corcan:9,corthud:36"
ours,Cortex,10000,t1+can+mort,9920,0,"corcan:6,corthud:13,corstorm:14,cormort:8"
ours,Cortex,10000,t1+can(25),9850,0,"corcan:4,corthud:30,corstorm:31"
ours,Cortex,10000,t1+can(75),9890,0,"corcan:13,corthud:10,corstorm:11"
